Timestamp,Hand,Joint,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
14.72633,Right,Wrist,0.212176,-0.3350637,0.2218082,-0.2120788,0.368221,-0.8171841,0.3894176
14.72633,Right,Right_IndexProximal,0.1706292,-0.2620565,0.2834689,0.4263359,0.3827491,0.5174489,-0.6356004
14.72633,Right,Right_IndexIntermediate,0.1313868,-0.266084,0.2892849,0.3409652,-0.7623649,-0.3941817,0.3836193
14.72633,Right,Right_IndexDistal,0.1369438,-0.2777541,0.2672436,-0.7553304,0.6490739,0.08805934,0.02061201
14.72633,Right,Right_IndexDistalEnd,0.1611634,-0.2739014,0.2651961,-0.7553304,0.6490739,0.08805934,0.02061201
14.72633,Right,Right_MiddleProximal,0.1766148,-0.2796276,0.2978648,0.3295291,0.3643021,0.5786815,-0.6510165
14.72633,Right,Right_MiddleIntermediate,0.1317743,-0.2847302,0.2982005,0.3622988,-0.7385637,-0.4219166,0.3811171
14.72633,Right,Right_MiddleDistal,0.1379595,-0.2957787,0.2721505,-0.7825464,0.6170712,0.07899027,0.02460246
14.72633,Right,Right_MiddleDistalEnd,0.1605966,-0.2902402,0.2707731,-0.7825464,0.6170712,0.07899027,0.02460246
14.72633,Right,Right_PinkyProximal,0.1735761,-0.3236879,0.303374,0.3276914,0.1713537,0.6756084,-0.6378164
14.72633,Right,Right_PinkyIntermediate,0.142114,-0.3195647,0.309398,0.05069191,-0.4770211,-0.6847067,0.5486879
14.72633,Right,Right_PinkyDistal,0.127101,-0.3207862,0.294261,-0.2821722,0.659286,0.5923298,-0.3672422
14.72633,Right,Right_PinkyDistalEnd,0.125934,-0.3233617,0.2759593,-0.2821722,0.659286,0.5923298,-0.3672422
14.72633,Right,Right_RingProximal,0.1760497,-0.3008556,0.3030745,0.2682387,0.3247798,0.6260001,-0.6562704
14.72633,Right,Right_RingIntermediate,0.1352198,-0.3038211,0.3008388,0.376184,-0.7048489,-0.4812866,0.3606069
14.72633,Right,Right_RingDistal,0.1403381,-0.3109087,0.2743039,-0.7026771,0.6949214,0.1441719,0.05043895
14.72633,Right,Right_RingDistalEnd,0.1611105,-0.3102992,0.2715895,-0.7026771,0.6949214,0.1441719,0.05043895
14.72633,Right,Right_ThumbProximal,0.1858265,-0.2926096,0.2259308,0.9888861,0.1331799,-0.05465378,-0.0371601
14.72633,Right,Right_ThumbIntermediate,0.177599,-0.2603211,0.2335593,-0.8846262,-0.2667061,0.1023381,0.3685537
14.72633,Right,Right_ThumbDistal,0.1616359,-0.2365091,0.2545458,0.5790354,0.5387486,-0.08825846,-0.6055403
14.72633,Right,Right_ThumbDistalEnd,0.1464048,-0.2457541,0.2780049,0.5790355,0.5387486,-0.08825837,-0.6055405
