Threshold,Overall_Accuracy,Participant 1,Participant 2,Participant 3,Participant 4
0.0,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.01,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.02,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.03,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.04,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.05,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.06,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.07,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.08,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.09,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.1,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.11,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.12,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.13,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.14,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.15,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.16,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.17,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.18,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.19,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.2,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.21,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.22,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.23,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.24,43.45679012345679,43.15789473684211,37.278106508875744,50.378787878787875,39.57219251336899
0.25,43.58024691358025,43.15789473684211,37.278106508875744,50.75757575757576,39.57219251336899
0.26,43.58024691358025,43.15789473684211,37.278106508875744,50.75757575757576,39.57219251336899
0.27,43.58024691358025,43.15789473684211,37.278106508875744,50.75757575757576,39.57219251336899
0.28,43.58024691358025,43.15789473684211,37.278106508875744,50.75757575757576,39.57219251336899
0.29,43.7037037037037,43.684210526315795,37.278106508875744,50.75757575757576,39.57219251336899
0.3,43.82716049382716,44.21052631578947,37.278106508875744,50.75757575757576,39.57219251336899
