Participant,Hand,Expected Gesture,Predicted Gesture,Confidence,File,Correct
Finch,Left,Stop-Talking,Stop-Talking,0.9996999502182007,Finch-Stop-Talking_Left_2025-04-04_13-20-05.csv,True
Finch,Left,Stop-Talking,Stop-Talking,0.9996689558029175,Finch-Stop-Talking_Left_2025-04-04_13-20-06.csv,True
Finch,Left,Stop-Talking,Stop-Talking,0.9995781779289246,Finch-Stop-Talking_Left_2025-04-04_13-20-07.csv,True
Finch,Left,Stop-Talking,Stop-Talking,0.9995473027229309,Finch-Stop-Talking_Left_2025-04-04_13-20-08.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.9999774694442749,Finch-Stop-Talking_Right_2025-04-04_13-19-57.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.999980092048645,Finch-Stop-Talking_Right_2025-04-04_13-19-58.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.9999871253967285,Finch-Stop-Talking_Right_2025-04-04_13-19-59.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.9999759197235107,Finch-Stop-Talking_Right_2025-04-04_13-20-00.csv,True
Finch,Right,Stop-Talking,Stop-Talking,0.9999804496765137,Finch-Stop-Talking_Right_2025-04-04_13-20-01.csv,True
Finch,Left,Tell-Me-More,Hello,0.7969205975532532,Finch-Tell-Me-More_Left_2025-04-04_13-30-00.csv,False
Finch,Left,Tell-Me-More,Hello,0.9787706732749939,Finch-Tell-Me-More_Left_2025-04-04_13-30-01.csv,False
Finch,Left,Tell-Me-More,Hello,0.9241153597831726,Finch-Tell-Me-More_Left_2025-04-04_13-30-02.csv,False
Finch,Left,Tell-Me-More,Unknown Gesture,0.6140664219856262,Finch-Tell-Me-More_Left_2025-04-04_13-30-03.csv,False
Finch,Left,Tell-Me-More,Hello,0.7283264994621277,Finch-Tell-Me-More_Left_2025-04-04_13-30-04.csv,False
Finch,Right,Tell-Me-More,Tell-Me-More,0.9999771118164062,Finch-Tell-Me-More_Right_2025-04-04_13-29-55.csv,True
Finch,Right,Tell-Me-More,Tell-Me-More,0.9998880624771118,Finch-Tell-Me-More_Right_2025-04-04_13-29-56.csv,True
Finch,Right,Tell-Me-More,Tell-Me-More,0.999848484992981,Finch-Tell-Me-More_Right_2025-04-04_13-29-57.csv,True
Finch,Left,Thank-You,Start-Talking,0.7441515326499939,Finch-Thank-You_Left_2025-04-04_13-27-11.csv,False
Finch,Left,Thank-You,Unknown Gesture,0.697745680809021,Finch-Thank-You_Left_2025-04-04_13-27-12.csv,False
Finch,Left,Thank-You,Start-Talking,0.7226710319519043,Finch-Thank-You_Left_2025-04-04_13-27-13.csv,False
Finch,Left,Thank-You,Unknown Gesture,0.6675711274147034,Finch-Thank-You_Left_2025-04-04_13-27-14.csv,False
Finch,Left,Thank-You,Unknown Gesture,0.6782499551773071,Finch-Thank-You_Left_2025-04-04_13-27-15.csv,False
Finch,Right,Thank-You,Thank-You,0.9999821186065674,Finch-Thank-You_Right_2025-04-04_13-27-04.csv,True
Finch,Right,Thank-You,Thank-You,0.9999421834945679,Finch-Thank-You_Right_2025-04-04_13-27-05.csv,True
Finch,Right,Thank-You,Thank-You,0.9999253749847412,Finch-Thank-You_Right_2025-04-04_13-27-06.csv,True
Finch,Right,Thank-You,Thank-You,0.9999691247940063,Finch-Thank-You_Right_2025-04-04_13-27-07.csv,True
Finch,Left,Unknown Gesture,Start-Talking,0.9885147213935852,Unknown_Left_1.csv,False
Finch,Left,Unknown Gesture,Start-Talking,0.9687531590461731,Unknown_Left_10.csv,False
Finch,Left,Unknown Gesture,Stop-Talking,0.8524152040481567,Unknown_Left_2.csv,False
Finch,Left,Unknown Gesture,Hello,0.9765449166297913,Unknown_Left_3.csv,False
Finch,Left,Unknown Gesture,Unknown Gesture,0.42457661032676697,Unknown_Left_4.csv,True
Finch,Left,Unknown Gesture,Unknown Gesture,0.6255381107330322,Unknown_Left_5.csv,True
Finch,Left,Unknown Gesture,Unknown Gesture,0.4959008991718292,Unknown_Left_6.csv,True
Finch,Left,Unknown Gesture,Start-Talking,0.8134064078330994,Unknown_Left_7.csv,False
Finch,Left,Unknown Gesture,Start-Talking,0.7324371933937073,Unknown_Left_8.csv,False
Finch,Left,Unknown Gesture,Start-Talking,0.8328030705451965,Unknown_Left_9.csv,False
Finch,Right,Unknown Gesture,Hello,0.9999997615814209,Unknown_Right_1.csv,False
Finch,Right,Unknown Gesture,Hello,0.9999955892562866,Unknown_Right_10.csv,False
Finch,Right,Unknown Gesture,Hello,1.0,Unknown_Right_2.csv,False
Finch,Right,Unknown Gesture,Hello,0.9999986886978149,Unknown_Right_3.csv,False
Finch,Right,Unknown Gesture,Hello,0.9999985694885254,Unknown_Right_4.csv,False
Finch,Right,Unknown Gesture,Hello,0.9999997615814209,Unknown_Right_5.csv,False
Finch,Right,Unknown Gesture,Hello,0.9999997615814209,Unknown_Right_6.csv,False
Finch,Right,Unknown Gesture,Hello,0.9999997615814209,Unknown_Right_7.csv,False
Finch,Right,Unknown Gesture,Hello,1.0,Unknown_Right_8.csv,False
